Estacion;Nombre;Provincia;Tipo;X;Y;Z
1;SIERRA MIJAS  (MA);Málaga;METEOROLÓGICA;357340,00;4052598,00;921
2;SIERRA DE LUNA (CA);Cádiz;METEOROLÓGICA;271235,00;3997849,00;820
3;EMBALSE DE CHARCO REDONDO (CA);Cádiz;EMBALSE;271556,00;4012820,00;105
4;DEPÓSITO REGULADOR CHARCO RDO (CA);Cádiz;DISTRIBUCIÓN;273270,00;4011486,00;79
5;TORRE TOMA DE CHARCO REDONDO (CA);Cádiz;DISTRIBUCIÓN;272856,00;4012339,00;91
6;LOS REALES (MA);Málaga;METEOROLÓGICA;302199,00;4039995,00;1450
7;DEPÓSITO DI-1 (CA);Cádiz;DISTRIBUCIÓN;282674,00;4011660,00;62
8;EMBALSE DE GUADARRANQUE (CA);Cádiz;EMBALSE;278920,00;4020714,00;90
9;RÍO HOZGARGANTA (JIMENA) (CA);Cádiz;AFORO;280189,00;4034238,00;37
10;LOMAS DE CAMARA (CA);Cádiz;PLUVIOMÉTRICA;274207,00;4033262,00;616
11;RÍO GUADIARO(S PABLO BUCEITE) (CA);Cádiz;AFORO;284305,00;4038817,00;47
12;MAJADA DE LAS LOMAS (MA);Málaga;METEOROLÓGICA;278695,00;4046887,00;739
13;RÍO GENAL (JUBRIQUE) (MA);Málaga;AFORO;298954,00;4049239,00;252
14;PUJERRA (MA);Málaga;METEOROLÓGICA;305308,00;4050215,00;1053
15;CUEVAS DEL BECERRO (MA);Málaga;PLUVIOMÉTRICA;314661,00;4078786,00;848
16;EMBALSE DE LA CONCEPCIÓN (MA);Málaga;EMBALSE;324530;4045029;110
17;OJEN (MA);Málaga;METEOROLÓGICA;336976,00;4048576,00;493
18;EL TORCAL (MA);Málaga;PLUVIOMÉTRICA;356041,00;4090381,00;903
19;EMBALSE DE CASASOLA (MA);Málaga;EMBALSE;366628,00;4074417,00;160
20;EMBALSE DEL LIMONERO (MA);Málaga;EMBALSE;372436,00;4069267,00;136
21;DEPURADORA DEL ATABAL (MA);Málaga;DISTRIBUCIÓN;369064,00;4066010,00;100
22;MÁLAGA - PASEO DE LA FAROLA (MA);Málaga;METEOROLÓGICA;373831,61;4064338,54;24
23;PARTIDOR DE GUADARRANQUE (CA);Cádiz;DISTRIBUCIÓN;279526,00;4020236,00;60
24;DEPURADORA DE MARBELLA (MA);Málaga;DISTRIBUCIÓN;325759,00;4043018,00;49
25;SANTÓN PITAR (MA);Málaga;PLUVIOMÉTRICA;384694,00;4073828,00;1025
26;CAÑETE LA REAL (MA);Málaga;PLUVIOMÉTRICA;317996,00;4091227,00;1003
27;RONDA (MA);Málaga;METEOROLÓGICA;306584,00;4069318,00;770
28;LAGUNA DE FUENTE PIEDRA (MA);Málaga;METEOROLÓGICA;346555,00;4111156,00;453
29;EMBALSE DEL  GUADALTEBA (MA);Málaga;EMBALSE;339795,00;4089905,00;380
30;EMBALSE DEL GUADALHORCE (MA);Málaga;EMBALSE;339472,00;4090179,00;380
31;EMBALSE CONDE DE GUADALHORCE (MA);Málaga;EMBALSE;339409,00;4089118,00;345
32;REPETIDOR LA ENCANTADA (MA);Málaga;PLUVIOMÉTRICA;341437,00;4086062,00;572
33;CANAL DE LA ENCANTADA (MA);Málaga;DISTRIBUCIÓN;343193,00;4085469,00;181
34;AZUD DE PAREDONES (MA);Málaga;AFORO;346914;4080491;130
35;COÍN (MA);Málaga;PLUVIOMÉTRICA;343213,00;4058255,00;243
36;ALCAUCÍN (MA);Málaga;PLUVIOMÉTRICA;400926,00;4085001,00;536
37;EMBALSE DE LA VIÑUELA (MA);Málaga;EMBALSE;396197,00;4080053,00;235
38;RÍO GUADALHORCE (CARTAMA) (MA);Málaga;AFORO;355878,00;4065999,00;28
39;VILLANUEVA DE LA CONCEPCIÓN (MA);Málaga;PLUVIOMÉTRICA;363394,00;4088590,00;647
40;CASARABONELA (MA);Málaga;PLUVIOMÉTRICA;335667,00;4073367,00;525
41;COLMENAR (MA);Málaga;PLUVIOMÉTRICA;375462,00;4089046,00;839
42;ALFARNATEJO (MA);Málaga;PLUVIOMÉTRICA;388957,00;4090680,00;675
43;RÍO BENAMARGOSA (S. NEGRO) (MA);Málaga;AFORO;392622,00;4078582,00;146
44;TORROX (MA);Málaga;METEOROLÓGICA;416887,00;4067779,00;340
45;TORRE DEL MAR (MA);Málaga;METEOROLÓGICA;401011,00;4067983,00;340
46;RIO GUADALHORCE (ALJAIMA) (MA);Málaga;AFORO;351297,00;4066010,00;38
47;LUJAR (GR);Granada;METEOROLÓGICA;464258,00;4075267,00;1855
48;LA CABRA MONTÉS (GR);Granada;PLUVIOMÉTRICA;437390,00;4076662,00;932
49;RÍO VERDE (CAZULAS) (GR);Granada;AFORO;438474,00;4074298,00;170
50;VELEZ DE BENAUDALLA (GR);Granada;PLUVIOMÉTRICA;453555,00;4078522,00;593
51;EMBALSE DE RULES (GR);Granada;EMBALSE;455895,00;4079358,00;245
52;AZUD DE VELEZ (GR);Granada;DISTRIBUCIÓN;453451,00;4075849,00;112
53;PARTIDOR DE CAÑIZARES (GR);Granada;DISTRIBUCIÓN;451728,00;4071014,00;147
54;AZUD DEL VÍNCULO (GR);Granada;DISTRIBUCIÓN;451365,00;4070955,00;72
55;PADUL (GR);Granada;PLUVIOMÉTRICA;440249,00;4099202,00;923
57;BAYARCAL (AL);Almería;METEOROLÓGICA;500475,00;4097779,00;1243
58;EMBALSE DE BENINAR (AL);Almería;EMBALSE;497307;4081194;388
59;MURTAS (GR);Granada;METEOROLÓGICA;489438,00;4081395,00;1258
60;MOTRIL (GR);Granada;METEOROLÓGICA;453614,00;4067322,00;69
61;LOS GUAJARES (GR);Granada;PLUVIOMÉTRICA;444061,00;4078966,00;505
62;CERRO CAÑUELO (GR);Granada;METEOROLÓGICA;435250,00;4082736,00;1345
63;ALBUÑUELAS (GR);Granada;PLUVIOMÉTRICA;443027,00;4087105,00;816
64;EMBALSE DE BEZNAR (GR);Granada;EMBALSE;452242,00;4085648,00;529
65;LANJARÓN (GR);Granada;METEOROLÓGICA;458474,00;4091780,00;2042
66;CAPILEIRA (GR);Granada;METEOROLÓGICA;468428,00;4093369,00;1590
67;RÍO TREVELEZ (GR);Granada;METEOROLÓGICA;476103,00;4093196,00;1413
68;PUERTO DE LA RAGUA (AL);Almería;METEOROLÓGICA;499868,00;4103820,00;2246
69;RÍO GUADALFEO (ALMEGÍJAR) (GR);Granada;AFORO;473291,00;4083129,00;570
70;CONTRAVIESA GR);Granada;PLUVIOMÉTRICA;481364,00;4079035,00;1196
71;CASTALA (AL);Almería;PLUVIOMÉTRICA;505814,00;4081932,00;668
72;ALBUÑOL (GR);Granada;PLUVIOMÉTRICA;484959,00;4070128,00;414
73;RÍO GUADALFEO (ÓRGIVA) (GR);Granada;AFORO;462971,00;4082158,00;328
74;RÍO IZBOR (RESTABAL) (GR);Granada;AFORO;448348,00;4087448,00;518
75;SIERRA ALHAMILLA (AL);Almería;METEOROLÓGICA;554841,00;4093705,00;1309
76;SIERRA DE GADOR (AL);Almería;METEOROLÓGICA;517689,00;4081616,00;2119
77;FELIX (AL);Almería;PLUVIOMÉTRICA;530673,00;4080546,00;843
78;PUNTA  SABINAR (AL);Almería;PLUVIOMÉTRICA;526616,00;4060200,00;9
79;CANAL BENINAR-AGUADULCE (AL);Almería;DISTRIBUCIÓN;507923,00;4070209,00;293
80;SIERRA DE LOS FILABRES (AL);Almería;METEOROLÓGICA;552067,00;4123041,00;2084
81;ORIA (AL);Almería;METEOROLÓGICA;555949,00;4148896,00;1112
82;TAHAL (AL);Almería;METEOROLÓGICA;563462,00;4120656,00;1013
83;SIERRA ALMAGRO (AL);Almería;PLUVIOMÉTRICA;599688,00;4136118,00;697
84;EMBALSE CUEVAS DEL ALMANZORA (AL);Almería;EMBALSE;597316,00;4131730,00;168
85;RÍO ALMANZORA (CANTORIA) (AL);Almería;AFORO;573424,00;4133707,00;354
86;RÍO ALMANZORA (SERÓN) (AL);Almería;AFORO;542596,00;4133978,00;769
87;ALBOX (AL);Almería;METEOROLÓGICA;568278,00;4146332,00;814
88;EL SALTADOR (AL);Almería;DISTRIBUCIÓN;599285,00;4141319,00;317
89;ALMERIA (AL);Almería;METEOROLÓGICA;548071,00;4076740,00;28
